  TEMPO #       VELOCID #                  POSICAO #              dv/dt #              dxdt
    9.0 #       1411.8911161048395 #       13107.643731384444   # -9.769751905436221 # 1411.8911161048395
    9.1 #       1410.9141409142958 #       13248.832842994927   # -9.769319721959365 # 1410.9141409142958
    9.2 #       1409.9372089421    #       13389.924257086357   # -9.768887866184398 # 1409.9372089421   
    9.3 #       1408.9603201554814 #       13530.917977980567   # -9.768456338036076 # 1408.9603201554814
    9.4 #       1407.9834745216779 #       13671.814009996115   # -9.76802513743922  # 1407.9834745216779
    9.5 #       1407.006672007934  #       13812.612357448283   # -9.767594264318717 # 1407.006672007934 
    9.6 #       1406.029912581502  #       13953.313024649076   # -9.767163718599514 # 1406.029912581502 
    9.7 #       1405.053196209642  #       14093.916015907227   # -9.766733500206634 # 1405.053196209642 
    9.8 #       1404.0765228596213 #       14234.421335528192   # -9.766303609065151 # 1404.0765228596213
    9.9 #       1403.0998924987148 #       14374.828987814153   # -9.765874045100217 # 1403.0998924987148
   10.0 #       1402.1233050942049 #       14515.138977064025   # -9.765444808237048 # 1402.1233050942049
   10.1 #       1401.146760613381  #       14655.351307573446   # -9.765015898400915 # 1401.146760613381 
   10.2 #       1400.170259023541  #       14795.465983634784   # -9.764587315517163 # 1400.170259023541 
   10.3 #       1399.1938002919892 #       14935.483009537138   # -9.764159059511204 # 1399.1938002919892
   10.4 #       1398.217384386038  #       15075.402389566338   # -9.763731130308507 # 1398.217384386038 
   10.5 #       1397.2410112730072 #       15215.224128004942   # -9.763303527834612 # 1397.2410112730072
   10.6 #       1396.2646809202238 #       15354.948229132242   # -9.762876252015124 # 1396.2646809202238
   10.7 #       1395.2883932950222 #       15494.574697224265   # -9.76244930277571  # 1395.2883932950222
   10.8 #       1394.3121483647446 #       15634.103536553766   # -9.762022680042106 # 1394.3121483647446
   10.9 #       1393.3359460967404 #       15773.534751390242   # -9.76159638374011  # 1393.3359460967404
   11.0 #       1392.3597864583664 #       15912.868345999916   # -9.761170413795586 # 1392.3597864583664
   11.1 #       1391.3836694169868 #       16052.104324645752   # -9.760744770134464 # 1391.3836694169868
   11.2 #       1390.4075949399733 #       16191.242691587451   # -9.760319452682733 # 1390.4075949399733
   11.3 #       1389.431562994705  #       16330.283451081448   # -9.75989446136646  # 1389.431562994705 
